AgeGroup,Gender,TimeofDay,Location,Did they smile?,Reason,Count
0 - 30 years,Female,7 am - 11:59 am,Bus,Yes,,1
60 Years & Above,Male,7 am - 11:59 am,Church,Yes,,1
60 Years & Above,Female,7 am - 11:59 am,Church,No,Mobile,1
60 Years & Above,Male,12 pm - 4:59 pm,Bus,No,Other,1
60 Years & Above,Female,7 am - 11:59 am,Church,No,Other,1
60 Years & Above,Male,7 am - 11:59 am,Church,Yes,,1
31 - 60 Years,Male,5 pm - 9 pm,Bus,Yes,,1
0 - 30 years,Male,7 am - 11:59 am,Library,Yes,,1
0 - 30 years,Male,7 am - 11:59 am,Bus,No,Mobile,1
0 - 30 years,Female,12 pm - 4:59 pm,Streets,Yes,,1
0 - 30 years,Female,7 am - 11:59 am,Bus,Yes,,1
60 Years & Above,Female,5 pm - 9 pm,Streets,Yes,,1
60 Years & Above,Female,5 pm - 9 pm,Streets,No,Mobile,1
31 - 60 Years,Female,7 am - 11:59 am,Bus,Yes,,1
31 - 60 Years,Male,7 am - 11:59 am,Streets,No,Mobile,1
31 - 60 Years,Male,7 am - 11:59 am,Library,Yes,,1
0 - 30 years,Male,7 am - 11:59 am,Bus,No,Mobile,1
31 - 60 Years,Female,7 am - 11:59 am,Library,No,Other,1
0 - 30 years,Male,12 pm - 4:59 pm,Bus,No,Mobile,1
0 - 30 years,Male,7 am - 11:59 am,Bus,No,Mobile,1
0 - 30 years,Male,7 am - 11:59 am,Airports,Yes,,1
0 - 30 years,Female,7 am - 11:59 am,Bus,Yes,,1
31 - 60 Years,Male,7 am - 11:59 am,Library,Yes,,1
0 - 30 years,Female,12 pm - 4:59 pm,Library,Yes,,1
0 - 30 years,Male,12 pm - 4:59 pm,Library,No,Other,1
0 - 30 years,Female,12 pm - 4:59 pm,Bus,No,Mobile,1
31 - 60 Years,Female,7 am - 11:59 am,Bus,Yes,,1
0 - 30 years,Male,5 pm - 9 pm,Library,Yes,,1
31 - 60 Years,Female,7 am - 11:59 am,Office,Yes,,1
31 - 60 Years,Female,12 pm - 4:59 pm,Library,No,Other,1
31 - 60 Years,Female,5 pm - 9 pm,Bus,No,Mobile,1
0 - 30 years,Female,12 pm - 4:59 pm,Library,Yes,,1
0 - 30 years,Male,12 pm - 4:59 pm,Library,No,Other,1
31 - 60 Years,Female,5 pm - 9 pm,Bus,No,Mobile,1
0 - 30 years,Female,7 am - 11:59 am,Library,Yes,,1
0 - 30 years,Female,5 pm - 9 pm,Streets,No,Mobile,1
60 Years & Above,Male,7 am - 11:59 am,Streets,Yes,,1
60 Years & Above,Male,12 pm - 4:59 pm,Streets,Yes,,1
0 - 30 years,Male,12 pm - 4:59 pm,Bus,No,Other,1
0 - 30 years,Male,12 pm - 4:59 pm,Bus,Yes,,1
31 - 60 Years,Male,12 pm - 4:59 pm,Library,No,Mobile,1
31 - 60 Years,Male,7 am - 11:59 am,Airports,No,Other,1
60 Years & Above,Female,5 pm - 9 pm,Airports,Yes,,1
31 - 60 Years,Female,5 pm - 9 pm,Bus,No,Other,1
60 Years & Above,Male,12 pm - 4:59 pm,Streets,Yes,,1
0 - 30 years,Female,12 pm - 4:59 pm,Office,No,Mobile,1
0 - 30 years,Male,12 pm - 4:59 pm,Bus,Yes,,1
0 - 30 years,Male,5 pm - 9 pm,Bus,No,Other,1
0 - 30 years,Female,7 am - 11:59 am,Bus,No,Other,1
31 - 60 Years,Female,12 pm - 4:59 pm,Streets,No,Mobile,1
31 - 60 Years,Male,7 am - 11:59 am,Bus,No,Mobile,1
0 - 30 years,Male,7 am - 11:59 am,Library,No,Other,1
0 - 30 years,Female,7 am - 11:59 am,Bus,Yes,,1
0 - 30 years,Female,12 pm - 4:59 pm,Office,Yes,,1
60 Years & Above,Female,5 pm - 9 pm,Bus,Yes,,1
0 - 30 years,Female,7 am - 11:59 am,Library,No,Other,1
31 - 60 Years,Male,12 pm - 4:59 pm,Streets,Yes,,1
60 Years & Above,Male,7 am - 11:59 am,Streets,No,Other,1
0 - 30 years,Female,7 am - 11:59 am,Library,Yes,,1
0 - 30 years,Female,12 pm - 4:59 pm,Airports,No,Mobile,1
31 - 60 Years,Female,5 pm - 9 pm,Streets,No,Other,1
60 Years & Above,Female,5 pm - 9 pm,Streets,No,Other,1
31 - 60 Years,Male,5 pm - 9 pm,Bus,No,Other,1
31 - 60 Years,Male,5 pm - 9 pm,Bus,Yes,,1
31 - 60 Years,Female,7 am - 11:59 am,Library,No,Other,1
0 - 30 years,Female,7 am - 11:59 am,Library,No,Other,1
31 - 60 Years,Male,12 pm - 4:59 pm,Bus,No,Mobile,1
60 Years & Above,Female,5 pm - 9 pm,Airports,Yes,,1
60 Years & Above,Male,5 pm - 9 pm,Airports,No,Other,1
31 - 60 Years,Male,5 pm - 9 pm,Library,Yes,,1
0 - 30 years,Female,5 pm - 9 pm,Bus,No,Other,1
0 - 30 years,Male,7 am - 11:59 am,Library,No,Other,1
31 - 60 Years,Female,5 pm - 9 pm,Library,Yes,,1
0 - 30 years,Male,7 am - 11:59 am,Library,No,Other,1
0 - 30 years,Female,7 am - 11:59 am,Library,No,Mobile,1
0 - 30 years,Male,12 pm - 4:59 pm,Bus,Yes,,1
0 - 30 years,Male,7 am - 11:59 am,Library,No,Mobile,1
0 - 30 years,Female,12 pm - 4:59 pm,Streets,Yes,,1
60 Years & Above,Male,7 am - 11:59 am,church,Yes,,1
31 - 60 Years,Female,12 pm - 4:59 pm,Bus,Yes,,1
31 - 60 Years,Female,7 am - 11:59 am,Airports,Yes,,1
60 Years & Above,Female,12 pm - 4:59 pm,Airports,Yes,,1
60 Years & Above,Female,12 pm - 4:59 pm,Airports,No,Other,1
31 - 60 Years,Male,5 pm - 9 pm,Bus,Yes,,1
0 - 30 years,Male,7 am - 11:59 am,Library,No,Other,1
0 - 30 years,Male,5 pm - 9 pm,Bus,No,Mobile,1
0 - 30 years,Male,7 am - 11:59 am,Streets,No,Mobile,1
0 - 30 years,Female,12 pm - 4:59 pm,Library,Yes,,1
0 - 30 years,Female,7 am - 11:59 am,Airports,No,Other,1
0 - 30 years,Female,5 pm - 9 pm,Bus,No,Mobile,1
0 - 30 years,Female,7 am - 11:59 am,Library,No,Other,1
0 - 30 years,Female,12 pm - 4:59 pm,Library,Yes,,1
